cases, Size,Avg,Std Dev,Avg Freq,Avg Err,Std Dev Err,Avg Freq Err
1, 256,3.9609375,2.6118953939657708,28.444444444444443,9.155062968287082e-13,0.058724804634012806,28.444444444444443
2, 256,3.86328125,2.5159996600189927,28.444444444444443,-9.15528114279847e-13,0.06524578214045956,28.444444444444443
3, 256,4.04296875,2.6305351306396596,28.444444444444443,3.0518380206786297e-13,0.061854978260940496,28.444444444444443
4, 256,4.09375,2.6388871689020883,28.444444444444443,-1.5258819479891913e-12,0.05388848414380429,28.444444444444443
5, 256,3.93359375,2.520403868780697,28.444444444444443,1.8310291196937337e-12,0.07413918271041182,28.444444444444443
6, 256,3.9609375,2.518643717652536,28.444444444444443,-6.103408590704164e-13,0.0687696204330138,28.444444444444443
7, 256,4.05859375,2.481398320010115,28.444444444444443,1.525864270411582e-12,0.07279090897076801,28.444444444444443
8, 256,4.09375,2.640372819783407,28.444444444444443,-1.2207276616049385e-12,0.05750507019554204,28.444444444444443
9, 256,3.75,2.6774292616202566,28.444444444444443,-5.925418982517458e-18,0.05576450956534549,28.444444444444443
10, 256,4.1640625,2.5073299406684693,28.444444444444443,-6.103745946986396e-13,0.06937569139324241,28.444444444444443
